交易 #,类型,信号,日期/时间,价格 USDT,合约,获利 USDT,获利 %,累计获利 USDT,累计获利 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %
507,多头出场,开盘价,,,,,,,,,,,
507,多头进场,BUY,2023/6/16 2:30,25156.71,,,,,,,,,
506,空头出场,BUY,2023/6/16 2:30,25156.71,1,721.45,2.79,194158.22,0.32,1078.41,4.17,126.69,0.49
506,空头进场,SELL,2023/6/15 2:30,25878.67,1,721.45,2.79,194158.22,0.32,1078.41,4.17,126.69,0.49
505,多头出场,SELL,2023/6/15 2:30,25878.67,1,-131.85,-0.51,193436.78,-0.06,87.74,0.34,256.88,0.99
505,多头进场,BUY,2023/6/14 20:30,26010,1,-131.85,-0.51,193436.78,-0.06,87.74,0.34,256.88,0.99
504,空头出场,BUY,2023/6/14 20:30,26010,1,-6.53,-0.03,193568.62,0,291.16,1.12,52.26,0.2
504,空头进场,SELL,2023/6/13 22:30,26003.99,1,-6.53,-0.03,193568.62,0,291.16,1.12,52.26,0.2
503,多头出场,SELL,2023/6/13 22:30,26003.99,1,177.29,0.69,193575.16,0.08,606.77,2.35,224.33,0.87
503,多头进场,BUY,2023/6/11 8:30,25826.18,1,177.29,0.69,193575.16,0.08,606.77,2.35,224.33,0.87
502,空头出场,BUY,2023/6/11 8:30,25826.18,1,671.11,2.53,193397.86,0.3,1139.55,4.3,36.32,0.14
502,空头进场,SELL,2023/6/10 0:30,26497.81,1,671.11,2.53,193397.86,0.3,1139.55,4.3,36.32,0.14
501,多头出场,SELL,2023/6/10 0:30,26497.81,1,11.57,0.04,192726.75,0.01,324.03,1.22,216.06,0.82
501,多头进场,BUY,2023/6/8 22:30,26485.71,1,11.57,0.04,192726.75,0.01,324.03,1.22,216.06,0.82
500,空头出场,BUY,2023/6/8 22:30,26485.71,1,-169.55,-0.64,192715.19,-0.08,191.42,0.73,259.52,0.99
500,空头进场,SELL,2023/6/8 0:30,26316.69,1,-169.55,-0.64,192715.19,-0.08,191.42,0.73,259.52,0.99
499,多头出场,SELL,2023/6/8 0:30,26316.69,1,765.78,3,192884.73,0.34,1841.12,7.21,164.85,0.65
499,多头进场,BUY,2023/6/6 20:30,25550.39,1,765.78,3,192884.73,0.34,1841.12,7.21,164.85,0.65
498,空头出场,BUY,2023/6/6 20:30,25550.39,1,1696.19,6.23,192118.95,0.77,1895.82,6.96,92.25,0.34
498,空头进场,SELL,2023/6/5 6:30,27247.11,1,1696.19,6.23,192118.95,0.77,1895.82,6.96,92.25,0.34
497,多头出场,SELL,2023/6/5 6:30,27247.11,1,122.76,0.45,190422.77,0.06,330.94,1.22,0.27,0
497,多头进场,BUY,2023/6/4 16:30,27123.81,1,122.76,0.45,190422.77,0.06,330.94,1.22,0.27,0
496,空头出场,BUY,2023/6/4 16:30,27123.81,1,-21.61,-0.08,190300,-0.01,187.54,0.69,61.47,0.23
496,空头进场,SELL,2023/6/4 4:30,27102.74,1,-21.61,-0.08,190300,-0.01,187.54,0.69,61.47,0.23
495,多头出场,SELL,2023/6/4 4:30,27102.74,1,234.98,0.87,190321.61,0.11,465.8,1.73,362.49,1.35
495,多头进场,BUY,2023/6/1 22:30,26867.22,1,234.98,0.87,190321.61,0.11,465.8,1.73,362.49,1.35
494,空头出场,BUY,2023/6/1 22:30,26867.22,1,1030.43,3.69,190086.64,0.47,1292.87,4.63,140.67,0.5
494,空头进场,SELL,2023/5/29 20:30,27898.2,1,1030.43,3.69,190086.64,0.47,1292.87,4.63,140.67,0.5
493,多头出场,SELL,2023/5/29 20:30,27898.2,1,1156.6,4.33,189056.2,0.53,1705.82,6.38,13.26,0.05
493,多头进场,BUY,2023/5/28 4:30,26741.05,1,1156.6,4.33,189056.2,0.53,1705.82,6.38,13.26,0.05
492,空头出场,BUY,2023/5/28 4:30,26741.05,1,-13.54,-0.05,187899.6,-0.01,176.77,0.66,118.23,0.44
492,空头进场,SELL,2023/5/27 20:30,26728.04,1,-13.54,-0.05,187899.6,-0.01,176.77,0.66,118.23,0.44
491,多头出场,SELL,2023/5/27 20:30,26728.04,1,315.52,1.19,187913.14,0.15,519.91,1.97,243.65,0.92
491,多头进场,BUY,2023/5/25 20:30,26411.99,1,315.52,1.19,187913.14,0.15,519.91,1.97,243.65,0.92
490,空头出场,BUY,2023/5/25 20:30,26411.99,1,785.01,2.89,187597.62,0.36,1325.38,4.87,52.11,0.19
490,空头进场,SELL,2023/5/24 6:30,27197.54,1,785.01,2.89,187597.62,0.36,1325.38,4.87,52.11,0.19
489,多头出场,SELL,2023/5/24 6:30,27197.54,1,370.98,1.38,186812.61,0.17,669.54,2.5,123.38,0.46
489,多头进场,BUY,2023/5/22 20:30,26826.02,1,370.98,1.38,186812.61,0.17,669.54,2.5,123.38,0.46
488,空头出场,BUY,2023/5/22 20:30,26826.02,1,231.39,0.86,186441.62,0.11,519.47,1.92,4.46,0.02
488,空头进场,SELL,2023/5/21 18:30,27057.95,1,231.39,0.86,186441.62,0.11,519.47,1.92,4.46,0.02
487,多头出场,SELL,2023/5/21 18:30,27057.95,1,161.97,0.6,186210.23,0.07,381.84,1.42,114.98,0.43
